Protein,Attention_Weight
cpa1,1.0909755
smoc1,1.0909332
samd9l,1.0905678
nme1,1.0899646
slc39a14,1.0899086
tab2,1.0898987
bank1,1.0892657
psmg4,1.0891979
ak2,1.0890765
xcl1,1.0890673
ca14,1.0889986
aifm1,1.0887265
sirt2,1.0887008
casp3,1.0886757
afm,1.0879705
mif,1.0875916
boc,1.087568
pilrb,1.08728
scgn,1.0870776
klk6,1.0870345
esm1,1.0870094
efna4,1.0869755
fst,1.08681
heg1,1.0868044
fcgr2a,1.0866892
il12b,1.0865371
sftpa1,1.0863018
tjap1,1.0862747
cst5,1.086135
c9orf40,1.0858991
vmo1,1.0856775
tnfrsf14,1.0855739
ada2,1.0854416
lrig1,1.0852871
anxa4,1.0845699
spint1,1.084563
tcof1,1.0844729
mavs,1.0844221
lefty2,1.0843655
cdkn2d,1.0839612
a1bg,1.0837127
srpx,1.083685
fmnl1,1.083261
cc2d1a,1.0831698
spint2,1.0823952
mgll,1.0818503
yod1,1.0817914
ppbp,1.0816374
vstm2l,1.0815
ca12,1.0811272
olr1,1.0805557
scamp3,1.0797484
prtfdc1,1.0792536
mfap5,1.0792515
acta2,1.0792079
btd,1.0787932
mad1l1,1.0782038
sfrp1,1.0777516
sit1,1.0774307
itih1,1.0773718
entpd2,1.0772355
nfat5,1.077146
nt5e,1.0767157
lilrb5,1.076478
reg3a,1.0758759
blvrb,1.0758753
csf1,1.0755204
scn2a,1.0753905
tnf,1.0751129
trem2,1.0749043
ncan,1.0748138
ccl16,1.0747652
vwc2l,1.074686
retn,1.0745032
gpr37,1.0744894
stx4,1.0738863
cdh15,1.0737865
serpina5,1.0736926
scrg1,1.0735484
dpp6,1.0733702
hnrnpul1,1.0732293
kdm3a,1.0731533
pla2g4a,1.0727311
pth,1.0721965
angptl4,1.0720499
faslg,1.0718726
mrc1,1.0717669
cacna1h,1.0715959
txndc5,1.0708454
sorcs2,1.0704406
spink2,1.0698966
fcgr3b,1.0692017
cela3a,1.069175
cdkn1a,1.0687778
cpa2,1.0687258
kifbp,1.0684059
shc1,1.0679295
brap,1.0677975
tbcb,1.0677922
rilp,1.0677056
pnliprp1,1.0675402
scly,1.0674651
ptx3,1.0672069
lgals4,1.0670493
vsig2,1.0663261
nt5c3a,1.0660553
sprr1b,1.0657473
pde5a,1.0657473
cpm,1.065645
appl2,1.0650374
enpp5,1.0648673
apoc1,1.0647482
itgbl1,1.0647371
clec7a,1.0644169
postn,1.0642908
nme3,1.0636822
irak1,1.0632937
snap23,1.0631416
cd4,1.0630711
prkg1,1.0627477
dock9,1.0625987
nfkb1,1.0625201
amot,1.0623107
slc34a3,1.0620687
lama4,1.0619531
arhgef12,1.0615727
npdc1,1.0614047
gp6,1.0612627
s100g,1.0609305
dbi,1.0608579
ndufs6,1.0608371
fga,1.06079
il2ra,1.0606244
clstn1,1.0605805
cd1c,1.0601627
brk1,1.0597048
cbln1,1.0595622
c2,1.0595492
lgals1,1.0594838
lpl,1.0591326
pon1,1.0590171
slurp1,1.0589468
pdgfa,1.0588218
ctsh,1.0583141
ca13,1.057488
il1rl1,1.0574602
myo9b,1.0571362
c1s,1.0570993
fam3c,1.0565243
tnfaip8l2,1.0561252
triap1,1.0558133
ca4,1.0557745
cryzl1,1.055731
gsr,1.054801
ruvbl1,1.054453
nenf,1.054317
dkk4,1.0542778
ptprn2,1.05424
tymp,1.0541679
gchfr,1.054092
crtam,1.0533931
uso1,1.053214
usp8,1.0529332
scgb2a2,1.0524331
rab44,1.0523999
anxa3,1.0523401
mapre3,1.052239
ephb6,1.0519297
ppl,1.05189
flt1,1.0515984
il15,1.0512571
ndrg1,1.0505507
atg16l1,1.0505488
apoh,1.0505353
rtn4r,1.0503368
gip,1.0500813
bap18,1.0498503
il16,1.0497344
dnph1,1.0493888
dscam,1.0493019
tnfrsf4,1.0492738
pnlip,1.0488997
vasn,1.0487449
bax,1.0486006
dpp10,1.0482397
havcr2,1.048135
znf830,1.0477515
cd28,1.0475165
bmper,1.0473782
agxt,1.0471599
il4r,1.0469503
rida,1.0466583
vwc2,1.0459968
slk,1.0459498
cd48,1.0458258
gnly,1.0456183
hgs,1.0455059
ifngr1,1.0452812
edar,1.0450749
atg4a,1.0448211
pecam1,1.0445676
aldh1a1,1.0444132
cpb1,1.044327
ppp1r12a,1.0439708
hmbs,1.0437264
rab6a,1.0435886
cd40lg,1.0435568
tnfrsf21,1.043444
scg2,1.0432554
nid1,1.0431497
adamts8,1.0431275
ca5a,1.0427152
mepe,1.0426044
gbp1,1.042407
myom2,1.0421739
clstn2,1.042167
dkk3,1.0418665
cdh5,1.0418117
kel,1.0416113
tbca,1.0415311
hmox1,1.0415264
slc51b,1.0414168
pafah1b3,1.0406647
serping1,1.0404229
anpep,1.0402873
ctsv,1.0400016
phldb2,1.0399
pdcd1,1.0398335
ren,1.0397536
hyal1,1.0397098
apoa4,1.0397086
fcgr2b,1.0395194
klrb1,1.0394859
bpifb1,1.0394132
agrn,1.0390391
tlr1,1.0389667
tf,1.038256
siglec15,1.0381207
mpo,1.0377451
cpxm1,1.0374994
arhgef1,1.0369563
hbegf,1.0369334
cx3cl1,1.0368512
rgma,1.036841
clec4m,1.0365057
ntf4,1.0353131
abl1,1.0351733
rras,1.0342072
dnpep,1.0341864
nck2,1.0339056
galnt10,1.033695
ddi2,1.0336235
ppp1r2,1.0336065
smad2,1.0335501
tet2,1.0335404
sema4d,1.0334859
gpnmb,1.0334277
cd40,1.0332687
gfod2,1.0331881
cblif,1.0331156
csf2,1.0330541
rnf41,1.0330211
hsbp1,1.0329099
dnm1,1.0328634
ptpn6,1.032773
chchd10,1.0323935
fcamr,1.0323616
arhgap45,1.0321715
itgal,1.0318968
